2.0	4.5	4.0	6.3	6.0	6.3	8.9	8.2	8.0	8.2	10.0	10.2	12.6	12.2	12.0	12.2	12.6	13.4
2.0	2.0	2.8	4.0	4.5	5.7	6.3	6.0	6.3	7.2	8.2	8.9	10.2	10.0	10.2	10.8	11.7	12.8
1.0	2.8	2.0	4.5	4.0	4.5	7.2	6.3	6.0	6.3	8.0	8.2	10.8	10.2	10.0	10.2	10.8	11.7
2.8	1.0	2.0	2.0	2.8	4.5	4.5	4.0	4.5	5.7	6.3	7.2	8.2	8.0	8.2	8.9	10.0	11.3
2.0	2.0	1.0	2.8	2.0	2.8	5.7	4.5	4.0	4.5	6.0	6.3	8.9	8.2	8.0	8.2	8.9	10.0
5.7	2.8	4.5	2.0	4.0	6.0	2.0	2.8	4.5	6.3	5.7	7.2	6.0	6.3	7.2	8.5	10.0	11.7
4.5	2.0	2.8	1.0	2.0	4.0	2.8	2.0	2.8	4.5	4.5	5.7	6.3	6.0	6.3	7.2	8.5	10.0
4.0	2.8	2.0	2.0	1.0	2.0	4.5	2.8	2.0	2.8	4.0	4.5	7.2	6.3	6.0	6.3	7.2	8.5
4.5	4.5	2.8	4.0	2.0	1.0	6.3	4.5	2.8	2.0	4.5	4.0	8.5	7.2	6.3	6.0	6.3	7.2
5.7	6.3	4.5	6.0	4.0	2.0	8.2	6.3	4.5	2.8	5.7	4.5	10.0	8.5	7.2	6.3	6.0	6.3
7.2	4.5	5.7	2.8	4.5	6.3	1.0	2.0	4.0	6.0	4.5	6.3	4.0	4.5	5.7	7.2	8.9	10.8
6.3	4.0	4.5	2.0	2.8	4.5	2.0	1.0	2.0	4.0	2.8	4.5	4.5	4.0	4.5	5.7	7.2	8.9
6.0	4.5	4.0	2.8	2.0	2.8	4.0	2.0	1.0	2.0	2.0	2.8	5.7	4.5	4.0	4.5	5.7	7.2
6.3	5.7	4.5	4.5	2.8	2.0	6.0	4.0	2.0	1.0	2.8	2.0	7.2	5.7	4.5	4.0	4.5	5.7
7.2	7.2	5.7	6.3	4.5	2.8	8.0	6.0	4.0	2.0	4.5	2.8	8.9	7.2	5.7	4.5	4.0	4.5
8.2	6.0	6.3	4.0	4.5	5.7	2.8	2.0	2.8	4.5	2.0	4.0	2.8	2.0	2.8	4.5	6.3	8.2
8.0	6.3	6.0	4.5	4.0	4.5	4.5	2.8	2.0	2.8	1.0	2.0	4.5	2.8	2.0	2.8	4.5	6.3
8.2	7.2	6.3	5.7	4.5	4.0	6.3	4.5	2.8	2.0	2.0	1.0	6.3	4.5	2.8	2.0	2.8	4.5
